Title,Issn,SJR,H index
Nature Reviews Neurology,"17594766, 17594758",6.536,188
Nature Reviews Nephrology,"1759507X, 17595061",6.494,147
Annals of the Rheumatic Diseases,"00034967, 14682060",6.489,272
Science Robotics,24709476,6.479,79
"Lancet Digital Health, The",25897500,6.433,48
Annual Review of Physiology,"00664278, 15451585",6.429,228
Accounts of Chemical Research,"00014842, 15204898",6.382,436
Science Translational Medicine,"19466234, 19466242",6.361,265
Acta Numerica,"14740508, 09624929",6.341,82
Psychological Science in the Public Interest,"21600031, 15291006",6.295,56
Physical Review X,21603308,6.267,168
EnergyChem,25897780,6.26,30
Journal of the Academy of Marketing Science,"00920703, 15527824",6.248,194
American Journal of Respiratory and Critical Care Medicine,"1073449X, 15354970",6.237,404
Annual Review of Fluid Mechanics,"15454479, 00664189",6.237,207
Journal of Experimental Medicine,"00221007, 15409538",6.237,478
Intensive Care Medicine,"14321238, 03424642",6.229,219
Molecular Systems Biology,17444292,6.22,164
Nature Machine Intelligence,25225839,6.21,47
Materials Today,13697021,6.194,210
Nature Reviews Earth and Environment,2662138X,6.193,44
"Lancet Gastroenterology and Hepatology, The",24681253,6.174,84
InfoMat,25673165,6.153,57
Journal of Business and Economic Statistics,"07350015, 15372707",6.15,111
Journal of Applied Psychology,"19391854, 00219010",6.13,324
Nature Geoscience,"17520908, 17520894",6.11,243
Journal of Accounting and Economics,01654101,6.1,174
Journal of the European Economic Association,"15424774, 15424766",6.087,112
NCHS data brief,"19414927, 19414935",6.085,89
Annual Review of Earth and Planetary Sciences,00846597,6.083,171
Journal of Hematology and Oncology,17568722,6.046,122
Journal of Consumer Research,"00935301, 15375277",6.024,210
Diabetes Care,"19355548, 01495992",6.008,399
Trends in Cell Biology,"09628924, 18793088",5.987,255
Annual Review of Nuclear and Particle Science,01638998,5.985,109
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,10636919,5.952,470
Journal of the American Chemical Society,"15205126, 00027863",5.945,674
Journal of Monetary Economics,03043932,5.944,142
Journal of Thoracic Oncology,"15561380, 15560864",5.866,161
Journal of the American Mathematical Society,"10886834, 08940347",5.848,104
Cell Reports Medicine,26663791,5.841,37
Review of Educational Research,"00346543, 19351046",5.804,174
Fungal Diversity,"15602745, 18789129",5.784,113
Genes and Development,"15495477, 08909369",5.769,467
IEEE Transactions on Evolutionary Computation,1089778X,5.767,199
Journal of Econometrics,03044076,5.744,177
Personality and Social Psychology Review,"10888683, 15327957",5.709,177
Physics Reports,03701573,5.691,306
Review of Finance,"1573692X, 15723097",5.68,72
Progress in Energy and Combustion Science,03601285,5.679,212
Progress in Polymer Science,00796700,5.676,313
IEEE Transactions on Wireless Communications,15361276,5.662,241
Proceedings of the IEEE International Conference on Computer Vision,15505499,5.662,313
Annual Review of Entomology,"00664170, 15454487",5.655,217
Advances in Methods and Practices in Psychological Science,"25152459, 25152467",5.649,34
Nature Human Behaviour,23973374,5.639,79
Trends in Cognitive Sciences,"1879307X, 13646613",5.615,339
European Journal of Heart Failure,"13889842, 18790844",5.601,156
Angewandte Chemie - International Edition,"14337851, 15213773",5.573,612
Advanced Functional Materials,1616301X,5.565,376
Proceedings of the IEEE,"15582256, 00189219",5.564,312
Perspectives on Psychological Science,"17456916, 17456924",5.529,168
Nature Chemical Biology,"15524469, 15524450",5.509,246
EMBO Journal,"02614189, 14602075",5.484,417
Advances in Applied Energy,26667924,5.458,22
Review of Corporate Finance Studies,"20469136, 20469128",5.448,22
Annual Review of Microbiology,"00664227, 15453251",5.436,206
"Annual Review of Ecology, Evolution, and Systematics",1543592X,5.409,234
Journal of the National Cancer Institute,"14602105, 00278874",5.409,377
Light: Science and Applications,20477538,5.406,132
Developmental Cell,"15345807, 18781551",5.385,286
Journal of Financial Intermediation,"10960473, 10429573",5.384,87
Nature Ecology and Evolution,2397334X,5.374,101
IEEE Transactions on Cybernetics,"21682275, 21682267",5.365,162
JACC: Heart Failure,"22131787, 22131779",5.352,92
Pharmacological Reviews,"15210081, 00316997",5.338,247
Foundations and Trends in Computer Graphics and Vision,15722740,5.329,27
Management Science,"00251909, 15265501",5.322,278
Cement and Concrete Research,00088846,5.294,262
IEEE Communications Magazine,01636804,5.285,272
Nano-Micro Letters,"23116706, 21505551",5.276,88
Annals of Statistics,00905364,5.219,180
Molecular Plant,"16742052, 17529867",5.209,146
Nature Plants,2055026X,5.205,111
Studies in Mycology,01660616,5.202,110
Annual Review of Genomics and Human Genetics,"15278204, 1545293X",5.196,126
Energy Storage Materials,24058297,5.179,131
Analytic Methods in Accident Research,22136657,5.17,48
Journal of Accounting Research,"1475679X, 00218456",5.165,158
Molecular Neurodegeneration,17501326,5.158,103
American Economic Journal: Microeconomics,"19457669, 19457685",5.156,49
Trends in Ecology and Evolution,"01695347, 18728383",5.127,370
IEEE Transactions on Smart Grid,19493053,5.118,211
Journal of Clinical Investigation,"00219738, 15588238",5.117,527
Nature Communications,20411723,5.116,466
JAMA Pediatrics,"21686211, 21686203",5.109,209
Journal of Public Economics,00472727,5.1,164
Annual Review of Marine Science,"19410611, 19411405",5.097,115
Journal of International Business Studies,"00472506, 14786990",5.093,219
The Innovation,26666758,5.057,30
Handbook of Econometrics,15734412,5.036,23
Nano Energy,22112855,5.03,227
Journal of Business Venturing,08839026,5.029,211
Journal of Service Research,"10946705, 15527379",4.981,137
Evidence-Based Mental Health,"1468960X, 13620347",4.969,43
American Journal of Political Science,"00925853, 15405907",4.963,193
American Journal of Human Genetics,"15376605, 00029297",4.943,321
Progress in Retinal and Eye Research,"13509462, 18731635",4.939,174
Blood,"15280020, 00064971",4.927,506
JAMA Internal Medicine,"21686114, 21686106",4.922,375
Genome Research,"15495469, 10889051",4.906,319
International Journal of Information Management,02684012,4.906,152
Innovation Policy and the Economy,"15313468, 15372618",4.903,18
Acta Neuropathologica,"00016322, 14320533",4.897,200
Matter,"25902393, 25902385",4.896,63
Applied Catalysis B: Environmental,"18733883, 09263373",4.887,301
Cell Genomics,2666979X,4.863,10
Progress in Particle and Nuclear Physics,01466410,4.855,124
Synthesis Lectures on Communication Networks,19354185,4.854,11
Genome Medicine,1756994X,4.851,111
Academy of Management Perspectives,15589080,4.84,148
Neuro-Oncology,"15228517, 15235866",4.833,150
Foundations and Trends in Systems and Control,"23256826, 23256818",4.816,17
Political Analysis,"10471987, 14764989",4.815,77
Inventiones Mathematicae,"00209910, 14321297",4.811,118
International Organization,"15315088, 00208183",4.798,157
"Lancet Haematology,The",23523026,4.793,82
Accounts of Materials Research,26436728,4.788,26
Advanced Photonics,25775421,4.787,32
Annual Review of Environment and Resources,"15452050, 15435938",4.784,135
Trends in Neurosciences,"03785912, 01662236, 1878108X",4.784,311
British Journal of Sports Medicine,"03063674, 14730480",4.764,209
Information Fusion,"18726305, 15662535",4.756,136
Psychotherapy and Psychosomatics,"00333190, 14230348",4.738,110
ACS Nano,"1936086X, 19360851",4.728,448
Journal of Labor Economics,"0734306X, 15375307",4.727,123
AI Open,26666510,4.726,10
European Respiratory Journal,"09031936, 13993003",4.722,267
Trends in Immunology,"14714906, 14714981",4.689,245
Annual Review of Virology,"23270578, 2327056X",4.654,59
Organizational Research Methods,"15527425, 10944281",4.626,130
Clinical Cancer Research,"10780432, 15573265",4.603,362
Annual Review of Cancer Biology,24723428,4.599,32
Science advances,23752548,4.598,214
"Lancet Rheumatology, The",26659913,4.586,41
Cell Reports,22111247,4.574,202
Carbon Energy,26379368,4.571,37
eClinicalMedicine,25895370,4.553,63
Clinical Psychology Review,"18737811, 02727358",4.541,239
Organization Studies,"17413044, 01708406",4.537,167
Review of Asset Pricing Studies,"20459920, 20459939",4.537,26
Circulation Research,"00097330, 15244571",4.531,369
Journal of Management Studies,"00222380, 14676486",4.492,206
IEEE Vehicular Technology Magazine,15566072,4.469,71
Reports on Progress in Physics,"13616633, 00344885",4.467,237
ACM Computing Surveys,"03600300, 15577341",4.457,190
Journal of the American Society of Nephrology : JASN,"15333450, 10466673",4.45,306
IEEE Transactions on Pattern Analysis and Machine Intelligence,01628828,4.447,397
Accounting Review,00014826,4.446,180
PhotoniX,26621991,4.445,22
Brain,"14602156, 00068950",4.437,365
JACC: Cardiovascular Imaging,"1936878X, 18767591",4.435,144
Trends in Chemistry,25895974,4.435,56
Ecology Letters,"1461023X, 14610248",4.426,298
Annals of PDE,"21992576, 25245317",4.425,21
PRX Quantum,26913399,4.415,28
Drug Resistance Updates,"13687646, 15322084",4.391,125
Biological Reviews,"1469185X, 14647931",4.388,186
Mathematical Programming Computation,"18672949, 18672957",4.377,40
Energy and Environmental Materials,"25750348, 25750356",4.338,36
Nature Aging,26628465,4.336,19
Economic Journal,"14680297, 00130133",4.334,179
IEEE Transactions on Automatic Control,"00189286, 15582523",4.334,314
Leadership Quarterly,10489843,4.331,175
Entrepreneurship Theory and Practice,"10422587, 15406520",4.323,185
Strategic Organization,"1741315X, 14761270",4.284,70
Radiocarbon,00338222,4.271,88
IEEE Network,"08908044, 1558156X",4.266,143
Trends in Biochemical Sciences,"13624326, 03765067, 09680004",4.265,292
eLife,2050084X,4.251,184
Psychological Methods,"1082989X, 19391463",4.247,172
Earth System Science Data,"18663516, 18663508",4.24,85
Annual Review of Medicine,"1545326X, 00664219",4.233,174
Annual Review of Physical Chemistry,"0066426X, 15451593",4.232,180
Strategy Science,"23332077, 23332050",4.232,21
American Journal of Psychiatry,"0002953X, 15357228",4.231,381
PLoS Medicine,"15491277, 15491676",4.223,258
Review of Accounting Studies,"15737136, 13806653",4.212,88
Annual Review of Sociology,"03600572, 15452115",4.196,195
ACS Catalysis,21555435,4.195,263
Cell Discovery,20565968,4.179,50
"Lancet Child and Adolescent Health, The",23524642,4.179,57
ACS Central Science,"23747951, 23747943",4.171,115
California Management Review,"21628564, 00081256",4.17,147
Hepatology,"02709139, 15273350",4.152,387
Eurosurveillance,"15607917, 1025496X",4.145,125
Applied Physics Reviews,19319401,4.143,92
Coordination Chemistry Reviews,00108545,4.121,300
JAMA network open,25743805,4.108,106
Journal of the National Comprehensive Cancer Network : JNCCN,"15401413, 15401405",4.098,138
Optica,23342536,4.096,126
Journal of Interactive Marketing,"10949968, 15206653",4.092,120
Advanced Science,21983844,4.086,154
Radiology,"00338419, 15271315",4.073,320
Global Change Biology,"13652486, 13541013",4.069,293
Remote Sensing of Environment,00344257,4.057,327
"Qualitative Research in Sport, Exercise and Health","21596778, 2159676X",4.045,44
Communications on Pure and Applied Mathematics,"00103640, 10970312",4.044,115
Current Climate Change Reports,21986061,4.042,47
Proceedings of the National Academy of Sciences of the United States of America,"10916490, 00278424",4.026,838
Brookings Papers on Economic Activity,"00072303, 15334465",4.021,93
Human Reproduction Update,"14602369, 13554786",4.021,203
Journal of Strategic Information Systems,09638687,4.011,104
Acta Mathematica,00015962,4.01,73
