Title,Issn,SJR,H index
Clinica e Investigacion en Arteriosclerosis,"02149168, 15781879",0.36,19
Computational Condensed Matter,23522143,0.36,22
Cyber-Physical Systems,23335785,0.36,13
Diagnostica,00121924,0.36,53
European Review of Latin American and Caribbean Studies,"18794750, 09240608",0.36,15
Fluid Dynamics,"15738507, 00154628",0.36,27
Fossil Record,"21930066, 21930074",0.36,23
Gastroenterology and Hepatology from Bed to Bench,"20084234, 20082258",0.36,33
Ido Movement for Culture,"20827571, 20843763",0.36,15
Journal of Black Studies,00219347,0.36,48
Journal of International Communication,"21627177, 13216597",0.36,9
Journal of the European Optical Society-Rapid Publications,19902573,0.36,37
Journal of Workplace Behavioral Health,"15555259, 15555240",0.36,22
Monaldi Archives for Chest Disease,"11220643, 25325264",0.36,49
Ocular Oncology and Pathology,"22964681, 22964657",0.36,15
Order,"15729273, 01678094",0.36,26
Praxis Educativa,"18094031, 18094309",0.36,7
Studies in Economics and Finance,10867376,0.36,25
Theoretical Chemistry Accounts,"1432881X, 14322234",0.36,114
Ultrasound Quarterly,"15360253, 08948771",0.36,42
American Business Law Journal,00027766,0.359,26
Annales Botanici Fennici,00033847,0.359,39
Arquivos Brasileiros de Cardiologia,0066782X,0.359,61
Asian Perspectives,"15358283, 00668435",0.359,36
Bulletin of Insectology,17218861,0.359,39
International Journal of Nursing Education Scholarship,1548923X,0.359,42
"International Journal of Uncertainty, Fuzziness and Knowlege-Based Systems",02184885,0.359,63
Journal of Geometric Mechanics,"19414889, 19414897",0.359,16
"Journal of Property, Planning and Environmental Law",25149407,0.359,15
Journal of Psoriasis and Psoriatic Arthritis,"24755311, 24755303",0.359,6
Journal of the American Association of Nurse Practitioners,"23276886, 23276924",0.359,27
Longitudinal and Life Course Studies,17579597,0.359,18
New Voices in Translation Studies,18195644,0.359,8
"Plastics, Rubber and Composites","17432898, 14658011",0.359,43
Seminars in Interventional Radiology,"10988963, 07399529",0.359,51
Strojnicky Casopis,"24505471, 00392472",0.359,12
Transactions on Combinatorics,"22518657, 22518665",0.359,6
American Journal of Forensic Medicine and Pathology,"01957910, 1533404X",0.358,62
Art Inquiry,"24510327, 16419278",0.358,3
Asian Geographer,10225706,0.358,11
Assay and Drug Development Technologies,"1540658X, 15578127",0.358,62
Assistive Technology,"19493614, 10400435",0.358,48
Biologia Futura,"26768607, 26768615",0.358,33
Central-European Journal of Immunology,"16444124, 14263912",0.358,30
Ensaio,01044036,0.358,13
Geburtshilfe und Frauenheilkunde,"14388804, 00165751",0.358,36
International Journal of Health Promotion and Education,"14635240, 21649545",0.358,21
Iranian Journal of Public Health,"22516085, 22516093",0.358,48
Journal of Aesthetics and Art Criticism,"15406245, 00218529",0.358,37
Journal of AOAC International,10603271,0.358,94
Journal of Caring Sciences,22519920,0.358,6
Journal of Elastomers and Plastics,"00952443, 15308006",0.358,33
"Journal of Emergencies, Trauma and Shock","09742700, 0974519X",0.358,35
Journal of Mid-Life Health,"09767819, 09767800",0.358,16
Journal of Toxicologic Pathology,09149198,0.358,33
Liquid Crystals Today,"14645181, 1358314X",0.358,16
Merrill-Palmer Quarterly,"0272930X, 15350266",0.358,76
New Review of Hypermedia and Multimedia,"17407842, 13614568",0.358,33
New York University Journal of Law and Liberty,"19305044, 19324421",0.358,4
Occupational Therapy International,"15570703, 09667903",0.358,42
Personalized Medicine,17410541,0.358,35
Revista Colombiana de Psiquiatria,00347450,0.358,17
Revista Latinoamericana de Psicologia,01200534,0.358,32
Sugar Tech,"09740740, 09721525",0.358,36
Tzu Chi Medical Journal,10163190,0.358,23
Zhongguo Tiedao Kexue/China Railway Science,10014632,0.358,30
Zoology in the Middle East,09397140,0.358,24
African Security,"19392214, 19392206",0.357,19
Business Perspectives and Research,"22785337, 23949937",0.357,14
Communicable diseases intelligence (2018),22096051,0.357,11
EAI Endorsed Transactions on Industrial Networks and Intelligent Systems,24100218,0.357,10
Egyptian Journal of Forensic Sciences,"20905939, 2090536X",0.357,23
Eure,"07176236, 02507161",0.357,34
Evergreen,21890420,0.357,19
F and S Science,2666335X,0.357,4
Health Services Research and Managerial Epidemiology,23333928,0.357,11
Infocommunications Journal,"20612125, 20612079",0.357,9
International Journal of Applied Glass Science,"20411286, 20411294",0.357,41
International Journal of Computers and Applications,1206212X,0.357,19
International Journal of Geometric Methods in Modern Physics,02198878,0.357,39
International Journal of Innovation and Technology Management,"17936950, 02198770",0.357,24
International Journal of Technology Enhanced Learning,"17535263, 17535255",0.357,25
Jixie Gongcheng Xuebao/Chinese Journal of Mechanical Engineering,05776686,0.357,57
Journal of Advanced Pharmaceutical Technology and Research,"09762094, 22314040",0.357,41
Journal of Dispersion Science and Technology,"15322351, 01932691",0.357,61
Journal of Pharmaceutical Innovation,"18725120, 19398042",0.357,33
Journal of Pharmacy Practice,"08971900, 15311937",0.357,33
Magnesium Research,"19524021, 09531424",0.357,50
Mammal Study,"13486160, 13434152",0.357,20
Missouri Medicine,00266620,0.357,29
Mobile Information Systems,"1875905X, 1574017X",0.357,42
Operative Orthopadie und Traumatologie,09346694,0.357,32
Russian Journal of Herpetology,10262296,0.357,12
Transport and Telecommunication,"14076179, 14076160",0.357,18
Acta Archaeologica,"0065101X, 16000390",0.356,14
Applied Bionics and Biomechanics,"11762322, 17542103",0.356,31
Asia-Pacific Journal of Chemical Engineering,19322135,0.356,41
Astronomy Letters,"10637737, 15626873",0.356,43
Contemporary Family Therapy,"08922764, 15733335",0.356,38
Educational Forum,"19388098, 00131725",0.356,31
Interaction Design and Architecture(s),"18269745, 22832998",0.356,16
Interactions,10725520,0.356,54
International Journal of Law and Management,"1754243X, 17542448",0.356,24
International Journal of Theoretical Physics,"15729575, 00207748",0.356,68
Journal of Creating Value,"23949643, 2454213X",0.356,12
Journal of East-West Business,"10669868, 15286959",0.356,19
Journal of Motor Behavior,"00222895, 19401027",0.356,77
Jurnal Pendidikan IPA Indonesia,"20894392, 23391286",0.356,23
L1 Educational Studies in Language and Literature,"15731731, 15676617",0.356,17
"OCL - Oilseeds and fats, Crops and Lipids","22726977, 22576614",0.356,34
Oral health &amp; preventive dentistry,"17579996, 16021622",0.356,40
Przeglad Menopauzalny,16438876,0.356,25
RUDN Journal of Sociology,"23132272, 24088897",0.356,7
Russian Mathematics,"1066369X, 1934810X",0.356,17
Teaching Statistics,"14679639, 0141982X",0.356,15
World Journal of Emergency Medicine,19208642,0.356,12
Accounting History Review,"21552851, 2155286X",0.355,25
Acta Cardiologica,"00015385, 1784973X",0.355,42
Alternatives,"21633150, 03043754",0.355,45
Anali Hrvatskog Politoloskog Drustva,"18456707, 18475299",0.355,5
Ancient Society,"00661619, 17831334",0.355,9
Angelaki - Journal of the Theoretical Humanities,"0969725X, 14692899",0.355,22
Brain-Computer Interfaces,"23262621, 2326263X",0.355,21
Canadian Journal of Civil Engineering,"03151468, 12086029",0.355,69
"Combustion, Explosion and Shock Waves","15738345, 00105082",0.355,45
Ecological Chemistry and Engineering S,18986196,0.355,27
Gesundheitswesen,"14394421, 09413790",0.355,46
Home Health Care Services Quarterly,"01621424, 15450856",0.355,32
Hormone Molecular Biology and Clinical Investigation,"18681883, 18681891",0.355,38
Journal of Aquatic Food Product Technology,"15470636, 10498850",0.355,38
Journal of Forest Research,"13416979, 16107403",0.355,44
Journal of the Korean Wood Science and Technology,"22337180, 10170715",0.355,17
Journal of Visual Literacy,"1051144X, 23796529",0.355,20
Lankesteriana,"14093871, 22152067",0.355,16
Marine Biology Research,"17451000, 17451019",0.355,42
Mathematical Problems in Engineering,"1024123X, 15635147",0.355,78
Military Behavioral Health,"21635781, 21635803",0.355,14
New Microbiologica,11217138,0.355,43
Politica y Gobierno,"14051060, 16652037",0.355,14
Public Administration and Policy,"2517679X, 17272645",0.355,8
Quarterly Journal of Engineering Geology and Hydrogeology,14709236,0.355,47
Revista de Contabilidad-Spanish Accounting Review,"19884672, 11384891",0.355,23
Statistics and its Interface,"19387989, 19387997",0.355,21
Studies on Neotropical Fauna and Environment,"17445140, 01650521",0.355,36
Transplant Immunology,"09663274, 18785492",0.355,65
Academia Revista Latinoamericana de Administracion,"10128255, 20565127",0.354,19
Applied Science and Engineering Progress,"26730421, 26729156",0.354,12
Education Research International,"20904010, 20904002",0.354,15
"Global Knowledge, Memory and Communication","25149350, 25149342",0.354,35
Horticulture Journal,"21890102, 21890110",0.354,39
IET Systems Biology,"17518857, 17518849",0.354,51
IFAC-PapersOnLine,24058963,0.354,86
International Journal of Knowledge Management,"15480666, 15480658",0.354,27
Journal of Agricultural Science,"00218596, 14695146",0.354,82
Journal of Creative Communications,"09732594, 09732586",0.354,16
Journal of Criminal Justice Education,"10511253, 17459117",0.354,32
Journal of Forensic Psychiatry and Psychology,"14789957, 14789949",0.354,50
Journal of Islamic Accounting and Business Research,"17590817, 17590825",0.354,26
Journal of Neonatal Nursing,13551841,0.354,26
Journal of the ASABE,"27693287, 27693295",0.354,111
Polityka Energetyczna,14296675,0.354,12
"Recent patents on food, nutrition &amp; agriculture","18761429, 22127984",0.354,30
Revista Internacional de Sociologia,"1988429X, 00349712",0.354,21
Zeitschrift fur Kristallographie - Crystalline Materials,"21944946, 21967105",0.354,20
Acta Polytechnica Hungarica,17858860,0.353,40
African Journal of Thoracic and Critical Care Medicine,"26170205, 26170191",0.353,4
American Quarterly,"00030678, 10806490",0.353,42
Anatomical Science International,"1447073X, 14476959",0.353,41
"Arte, Individuo y Sociedad","19882408, 11315598",0.353,10
Chemistry Africa,"25225766, 25225758",0.353,16
China Welding (English Edition),10045341,0.353,12
Current Swedish Archaeology,11027355,0.353,14
Dermatology Practical and Conceptual,21609381,0.353,6
Frontiers of Mathematics in China,"16733452, 16733576",0.353,29
Indian Pacing and Electrophysiology Journal,09726292,0.353,29
Industrial Lubrication and Tribology,00368792,0.353,36
"International Journal of Disability, Development and Education","1465346X, 1034912X",0.353,47
International Journal of Environmental Analytical Chemistry,"10290397, 03067319",0.353,48
International Journal of Forensic Mental Health,"19329903, 14999013",0.353,41
Journal of Applied Ichthyology,"14390426, 01758659",0.353,68
Journal of Applied Logics,"26319829, 26319810",0.353,7
Journal of Biological Education,"00219266, 21576009",0.353,44
Journal of Cancer Research and Therapeutics,"09731482, 09741127",0.353,47
Journal of Lie Theory,09495932,0.353,26
Journal of Psychosocial Nursing and Mental Health Services,02793695,0.353,39
Journal of the Iranian Chemical Society,"1735207X, 17352428",0.353,53
Lifestyle Genomics,"25043188, 25043161",0.353,33
Malaysian Journal of Medical Sciences,1394195X,0.353,35
Optical Engineering,"15602303, 00913286",0.353,114
Pedagogy in Health Promotion,"23733799, 23733802",0.353,11
Proceedings of the Institution of Civil Engineers: Structures and Buildings,"09650911, 17517702",0.353,47
Protein and Peptide Letters,"09298665, 18755305",0.353,64
REVESCO Revista de Estudios Cooperativos,"18858031, 11356618",0.353,13
Revista Chilena de Derecho y Tecnologia,"07192576, 07192584",0.353,4
"Terrestrial, Atmospheric and Oceanic Sciences","10170839, 23117680",0.353,50
ACM Transactions on Applied Perception,"15443965, 15443558",0.352,56
Bulletin of the Iranian Mathematical Society,"1017060X, 10186301",0.352,21
Conflict Resolution Quarterly,"15365581, 15411508",0.352,25
Design Automation for Embedded Systems,"15728080, 09295585",0.352,31
Interchange,"15731790, 08264805",0.352,21
International Journal of Optimization and Control: Theories and Applications,21460957,0.352,10
International Journal of Trichology,"09747753, 09749241",0.352,29
Journal of B.U.ON.,11070625,0.352,34
Journal of Ethology,"02890771, 14395444",0.352,38
Journal of Mathematics and Computer Science,2008949X,0.352,13
Journal of Social Philosophy,"00472786, 14679833",0.352,37
Metascience,"14679981, 08150796",0.352,3
Open Medicinal Chemistry Journal,18741045,0.352,21
Rethinking Ecology,25349260,0.352,4
Revista Brasileira de Entomologia,"00855626, 18069665",0.352,35
Science and Technology for Energy Transition (STET),28047699,0.352,71
Synthetic Communications,"00397911, 15322432",0.352,80
Transport,"16484142, 16483480",0.352,38
Vetus Testamentum,"15685330, 00424935",0.352,21
Zoologia,"19844689, 19844670",0.352,38
Archives of Environmental Protection,"03248461, 20834772, 20834810",0.351,27
Australian Journal of International Affairs,"10357718, 1465332X",0.351,36
British Journal of Biomedical Science,"09674845, 24740896",0.351,47
Canadian Journal of Animal Science,00083984,0.351,71
Chemical Papers,"03666352, 13369075",0.351,50
Electronic Government,"17407494, 17407508",0.351,37
Hospital practice (1995),"21548331, 23771003",0.351,26
Indian Journal of Palliative Care,"19983735, 09731075",0.351,34
International Journal of Applied Science and Engineering,"17277841, 17272394",0.351,9
International Journal of Electronic Customer Relationship Management,"17500664, 17500672",0.351,16
International Journal of Middle East Studies,"14716380, 00207438",0.351,48
International Journal of Surgical Pathology,"10668969, 19402465",0.351,53
IZA Journal of Labor Policy,21939004,0.351,23
Journal of Animal Behaviour and Biometeorology,23181265,0.351,14
Journal of Feline Medicine and Surgery Open Reports,20551169,0.351,12
Journal of Network Intelligence,24148105,0.351,9
Journal of Social Studies Education Research,13099108,0.351,19
Open Journal of Bioresources,20565542,0.351,5
Philosophy and Social Criticism,01914537,0.351,36
Production Engineering Archives,"23537779, 23535156",0.351,13
Protistology,16800826,0.351,7
Russian Journal of Earth Sciences,"16811178, 16811208",0.351,20
South Asian Journal of Human Resources Management,"23220937, 23495790",0.351,12
Studia Scientiarum Mathematicarum Hungarica,"15882896, 00816906",0.351,26
Studies in Surface Science and Catalysis,01672991,0.351,68
Annals of Transplantation,"14259524, 23290358",0.35,43
Chromatographia,"00095893, 16121112",0.35,71
Climate Research,"16161572, 0936577X",0.35,116
Cornell Law Review,00108847,0.35,52
Economic and Social Review,00129984,0.35,31
Geophysical and Astrophysical Fluid Dynamics,"10290419, 03091929",0.35,37
Gold Bulletin,00171557,0.35,65
Green Materials,"20491220, 20491239",0.35,20
IEEJ Transactions on Electrical and Electronic Engineering,19314973,0.35,33
INFORMS Transactions on Education,15320545,0.35,4
International Journal of Power Electronics and Drive Systems,20888694,0.35,27
Journal of Convex Analysis,09446532,0.35,43
Journal of Digital Media and Policy,"25163523, 25163531",0.35,9
Journal of Engineering Materials and Technology,"00944289, 15288889",0.35,74
Journal of Skin Cancer,"20902913, 20902905",0.35,13
Journal of Women and Gender in Higher Education,"26379112, 26379120",0.35,13
Music Theory Spectrum,"01956167, 15338339",0.35,25
New Zealand Journal of Botany,"0028825X, 11758643",0.35,39
Nursing Education Perspectives,15365026,0.35,53
Photochemistry,05563860,0.35,12
Property Management,02637472,0.35,30
RICYDE. Revista internacional de ciencias del deporte,18853137,0.35,22
Science Progress,"20477163, 00368504",0.35,40
Surface Science Spectra,10555269,0.35,33
Theory in Biosciences,"16117530, 14317613",0.35,38
AIAA/IEEE Digital Avionics Systems Conference - Proceedings,21557195,0.349,39
Androgens,26894653,0.349,5
Cahiers Agricultures,"11667699, 17775949",0.349,22
"Electronic Proceedings in Theoretical Computer Science, EPTCS",20752180,0.349,23
Engineering Computations,02644401,0.349,62
European Journal of Physiotherapy,"21679177, 21679169",0.349,12
Geofluids,"14688115, 14688123",0.349,64
Infants and Young Children,"08963746, 15505081",0.349,49
International Journal of Business Information Systems,"17460972, 17460980",0.349,31
International Journal of Horticultural Science and Technology,"25883143, 23221461",0.349,5
International Politics,"17403898, 13845748",0.349,38
J. AGRICULTURAL METEOROLOGY,"18810136, 00218588",0.349,23
Journal of Economic Integration,"19765525, 1225651X",0.349,14
Journal of Sustainability Research,26326582,0.349,8
Journal of Systems Science and Systems Engineering,10043756,0.349,31
Journal of the History of the Behavioral Sciences,"00225061, 15206696",0.349,28
Proceedings - Winter Simulation Conference,08917736,0.349,61
Proceedings of the Institution of Civil Engineers: Municipal Engineer,"09650903, 17517699",0.349,25
"Progress in Color, Colorants and Coatings","20082134, 23831790",0.349,15
Sao Paulo Medical Journal,"15163180, 18069460",0.349,45
Stratigraphy,1547139X,0.349,27
Studia Psychologica,00393320,0.349,22
Acta Geodaetica et Cartographica Sinica,10011595,0.348,38
Aircraft Engineering and Aerospace Technology,00022667,0.348,34
Comprehensive Child and Adolescent Nursing,"24694207, 24694193",0.348,41
Cultural Politics,17432197,0.348,15
East European Politics and Societies,"15338371, 08883254",0.348,45
Evidence-Based Practice in Child and Adolescent Mental Health,"23794925, 23794933",0.348,11
"Geoscientific Instrumentation, Methods and Data Systems","21930864, 21930856",0.348,24
Global Cardiology Science and Practice,23057823,0.348,22
Hermeneus,11397489,0.348,7
Image Processing On Line,21051232,0.348,12
"International Journal of Law, Crime and Justice",17560616,0.348,31
International Journal of Men's Social and Community Health,25619179,0.348,5
Journal of Astronomical Instrumentation,"22511725, 22511717",0.348,25
Journal of Legal Analysis,"21617201, 19465319",0.348,14
Journal of LGBT Issues in Counseling,"15538338, 15538605",0.348,31
JPRAS Open,23525878,0.348,11
JTCVS Techniques,26662507,0.348,9
Motor Control,"10871640, 15432696",0.348,51
Nordic Journal of Nursing Research,"20571593, 20571585",0.348,8
Operators and Matrices,18463886,0.348,20
Papeis Avulsos de Zoologia,"00311049, 18070205",0.348,28
Physics of Metals and Metallography,"0031918X, 15556190",0.348,36
Quality in Ageing and Older Adults,"20428766, 14717794",0.348,20
Revista Espanola de Educacion Comparada,"11378654, 21745382",0.348,6
Social Behavior and Personality,"11796391, 03012212",0.348,69
Strategies in Trauma and Limb Reconstruction,"18288928, 18288936",0.348,30
Women and Criminal Justice,08974454,0.348,32
Acta Arachnologica,00015202,0.347,16
Analisi,23405236,0.347,6
Behavioral Sciences of Terrorism and Political Aggression,"19434480, 19434472",0.347,21
Bragantia,00068705,0.347,36
Bulletin of the Korean Chemical Society,"02532964, 12295949",0.347,64
Canadian Journal of Dietetic Practice and Research,"14863847, 22929592",0.347,36
Caspian Journal of Internal Medicine,"20086172, 20086164",0.347,30
Crystal Research and Technology,"15214079, 02321300",0.347,69
Educacao e Sociedade,01017330,0.347,26
Estudios Fronterizos,23959134,0.347,5
Evidence Based Library and Information Practice,1715720X,0.347,17
"International Journal for Crime, Justice and Social Democracy","22028005, 22027998",0.347,23
Journal of Anthropological Research,"00917710, 21533806",0.347,41
Journal of Classical Sociology,"17412897, 1468795X",0.347,27
Journal of Engineering Mathematics,"15732703, 00220833",0.347,59
Journal of Literary and Cultural Disability Studies,"17576458, 17576466",0.347,5
Journal of the British Society for Phenomenology,"23320486, 00071773",0.347,11
Lecture Notes in Business Information Processing,18651348,0.347,56
Mechanical Sciences,"2191916X, 21919151",0.347,27
Medical Law Review,"14643790, 09670742",0.347,31
Medicina Clinica,"00257753, 15788989",0.347,71
Nordic Journal of Botany,"0107055X, 17561051",0.347,37
Osaka Journal of Mathematics,00306126,0.347,34
Recent Advances in Drug Delivery and Formulation,"26673886, 26673878",0.347,38
Shock and Vibration,"10709622, 18759203",0.347,53
Transfusion Clinique et Biologique,12467820,0.347,43
Acta Biologica Sibirica,24121908,0.346,4
Advances in Econometrics,07319053,0.346,28
Annals of Forest Research,"18448135, 20652445",0.346,22
Archives of Materials Science and Engineering,18972764,0.346,23
Blood Science,25436368,0.346,4
CMES - Computer Modeling in Engineering and Sciences,"15261492, 15261506",0.346,64
Endokrynologia Polska,0423104X,0.346,33
Entomological Review,"00138738, 15556689",0.346,18
Girlhood Studies,"19388209, 19388322",0.346,10
Interaction Studies,"15720381, 15720373",0.346,42
International Journal of Care Coordination,"20534353, 20534345",0.346,17
International Journal of Early Years Education,09669760,0.346,36
International Journal of Foundations of Computer Science,01290541,0.346,43
International Journal of Operational Research,"17457653, 17457645",0.346,31
Journal of Function Spaces,"23148888, 23148896",0.346,33
Journal of General Management,"17596106, 03063070",0.346,23
Journal of Germanic Linguistics,"14753014, 14705427",0.346,16
"journal of hand surgery Asian-Pacific volume, The","24248363, 24248355",0.346,29
Journal of Nonprofit and Public Sector Marketing,"15406997, 10495142",0.346,37
Journal of Oil Palm Research,15112780,0.346,28
Journal of Peace Education,"17400201, 1740021X",0.346,17
Journal of Small Business Strategy,"10818510, 23801751",0.346,20
Journal of Veterinary Medicine Series C: Anatomia Histologia Embryologia,"14390264, 03402096",0.346,40
Korean Journal of Mycology,"23835249, 0253651X",0.346,6
Mendeleev Communications,"1364551X, 09599436",0.346,44
Microbiology,"16083237, 00262617",0.346,41
"Numerical Heat Transfer, Part B: Fundamentals","15210626, 10407790",0.346,61
Proceedings of the Institution of Civil Engineers: Civil Engineering,"17517672, 0965089X",0.346,25
Radiological Physics and Technology,"18650341, 18650333",0.346,25
Revista Mexicana de Astronomia y Astrofisica,01851101,0.346,32
Scientific Annals of Computer Science,"18438121, 22482695",0.346,11
Vikalpa,"23953799, 02560909",0.346,30
Zeitschrift fur Gerontologie und Geriatrie,"09486704, 14351269",0.346,44
Advances in Cognitive Psychology,18951171,0.345,34
Arquivos Brasileiros de Oftalmologia,"16782925, 00042749",0.345,32
Australian Economic Review,"00049018, 14678462",0.345,33
CIN - Computers Informatics Nursing,"15382931, 15389774",0.345,50
Contemporary Management Research,18135498,0.345,7
Critical Reviews in Eukaryotic Gene Expression,10454403,0.345,67
"Einstein (Sao Paulo, Brazil)","16794508, 23176385",0.345,26
Information Technologies and International Development,"15447529, 15447537",0.345,4
International Journal of Ventilation,14733315,0.345,25
Iranian Journal of Science and Technology - Transactions of Civil Engineering,22286160,0.345,22
Journal of Chinese Economic and Foreign Trade Studies,"17544416, 17544408",0.345,16
Journal of Dance Education,"15290824, 2158074X",0.345,19
Journal of Military Ethics,"15027570, 15027589",0.345,24
Journal of Nonlinear Modeling and Analysis,"25622854, 25622862",0.345,6
Journal of Sensory Studies,"1745459X, 08878250",0.345,61
Latin American Journal of Solids and Structures,"16797825, 16797817",0.345,38
Learning Disabilities,"19376928, 19376936",0.345,7
Machine Translation,"09226567, 15730573",0.345,33
"Mitochondrial DNA Part A: DNA Mapping, Sequencing, and Analysis","24701394, 24701408",0.345,20
Pesquisa Agropecuaria Tropical,"15176398, 19834063",0.345,22
Proceedings of the Institute of Mathematics and Mechanics,"24094994, 24094986",0.345,9
Revista Brasileira de Botanica,01008404,0.345,40
Revista de Educacion,"1988592X, 00348082",0.345,35
Studia Geophysica et Geodaetica,"15731626, 00393169",0.345,42
Studies in History and Philosophy of Science Part C :Studies in History and Philosophy of Biological and Biomedical Sciences,13698486,0.345,47
Uncertain Supply Chain Management,"22916822, 22916830",0.345,23
University of Chicago Law Review,00419494,0.345,64
Water Resources,"00978078, 1608344X",0.345,26
Zoological Science,02890003,0.345,64
Advanced Composites Letters,09636935,0.344,25
Archivio Italiano di Urologia Andrologia,"11243562, 22824197",0.344,27
Bratislava Medical Journal,00069248,0.344,38
Bulletin of Latin American Research,"14709856, 02613050",0.344,37
Bulletin of Materials Science,"02504707, 09737669",0.344,81
Chemistry Teacher International,25693263,0.344,6
"Crime, Law and Social Change","15730751, 09254994",0.344,54
Critique of Anthropology,"14603721, 0308275X",0.344,49
Ethiopian journal of health sciences,10291857,0.344,29
European Surgical Research,"14219921, 0014312X",0.344,49
Heritage,25719408,0.344,16
International Journal of Intelligent Unmanned Systems,"20496427, 20496435",0.344,14
Journal of Computational Electronics,15698025,0.344,41
Journal of Transport History,"00225266, 17593999",0.344,19
Lithology and Mineral Resources,"00244902, 16083229",0.344,22
Philosophical Explorations,"17415918, 13869795",0.344,36
Rangelands,"01900528, 1551501X",0.344,33
Regional Research of Russia,"20799713, 20799705",0.344,15
Revista Paulista de Pediatria,"19840462, 01030582",0.344,29
Teaching Exceptional Children,"21635684, 00400599",0.344,16
Vision,"09722629, 22495304",0.344,18
AI Communications,09217126,0.343,42
Arthroplasty,25247948,0.343,6
Asia-Pacific Journal of Operational Research,02175959,0.343,36
Biomedical Chromatography,"10990801, 02693879",0.343,68
BioResources,19302126,0.343,90
Cognitive Computation and Systems,25177567,0.343,9
Environmental and Climate Technologies,16915208,0.343,21
European Journal of STEM Education,24684368,0.343,6
Icono14,16978293,0.343,8
International Journal of Chemical Reactor Engineering,15426580,0.343,39
International Journal of Enterprise Information Systems,"15481115, 15481123",0.343,26
International Journal of Food Contamination,21962804,0.343,19
Journal of Conservative Dentistry,"09745203, 09720707",0.343,39
Journal of General and Family Medicine,"21897948, 21896577",0.343,16
Journal of Genetics,"09737731, 00221333",0.343,43
"Journal of Indian Prosthodontic Society, The","19984057, 09724052",0.343,28
"Journal of Military, Veteran and Family Health",23687924,0.343,8
Journal of Modern African Studies,"14697777, 0022278X",0.343,63
Journal of Neurosciences in Rural Practice,"09763147, 09763155",0.343,28
Journal of Perianesthesia Nursing,"15328473, 10899472",0.343,36
Journal of Visual Impairment and Blindness,"15591476, 0145482X",0.343,45
Mathematical Social Sciences,01654896,0.343,40
Minnesota Law Review,00265535,0.343,44
Obstetric Medicine,"1753495X, 17534968",0.343,20
Open Education Studies,25447831,0.343,7
Politische Vierteljahresschrift,"00323470, 18622860",0.343,24
Progress in Fractional Differentiation and Applications,"23569336, 23569344",0.343,19
Psychological Studies,"00332968, 09749861",0.343,14
Rationality and Society,"14617358, 10434631",0.343,50
Revista de la Sociedad Geologica de Espana,"22551379, 02142708",0.343,8
Revista INVI,"07181299, 07188358",0.343,16
Scientia Sinica Informationis,"20959486, 16747267",0.343,13
Social and Environmental Accountability Journal,"0969160X, 21562245",0.343,23
Synthesis Lectures on Power Electronics,"19319525, 19319533",0.343,9
Turkish Journal of Fisheries and Aquatic Sciences,13032712,0.343,35
Zhongguo Jiguang/Chinese Journal of Lasers,02587025,0.343,36
Acta Montanistica Slovaca,13351788,0.342,26
Advanced Mathematical Models and Applications,25194445,0.342,5
Canadian Journal of Learning and Technology,14996685,0.342,6
Coloration Technology,"14784408, 14723581",0.342,54
Current Geriatrics Reports,21967865,0.342,17
Differential Equations and Dynamical Systems,"09713514, 09746870",0.342,22
High Temperature Materials and Processes,"21910324, 03346455",0.342,26
Human-Wildlife Interactions,"21553858, 21553874",0.342,22
Journal of Bryology,"17432820, 03736687",0.342,37
Journal of Engineering Thermophysics,"18102328, 19905432",0.342,25
"Journal of Mathematical Physics, Analysis, Geometry","18175805, 18129471",0.342,11
Journal of Mental Health Policy and Economics,"10914358, 1099176X",0.342,34
Journal of Psychology and Theology,"23281162, 00916471",0.342,38
Medical Journal of the Islamic Republic of Iran,"22516840, 10161430",0.342,31
Metallurgist,"00260894, 15738892",0.342,25
"Multiscale and Multidisciplinary Modeling, Experiments and Design",25208179,0.342,11
Polity,"17441684, 00323497",0.342,31
Revista Electronica de Investigacion Educativa,16074041,0.342,18
Traitement du Signal,"19585608, 07650019",0.342,19
"Vestnik Udmurtskogo Universiteta: Matematika, Mekhanika, Komp'yuternye Nauki","20765959, 19949197",0.342,8
Zeitschrift fur Naturforschung - Section C Journal of Biosciences,"09395075, 18657125",0.342,73
Acta Palaeobotanica,00016594,0.341,28
AJP Reports,"21577005, 21576998",0.341,12
Applied Food Biotechnology,"24234214, 23455357",0.341,20
Arquivos de Gastroenterologia,"16784219, 00042803",0.341,35
Atomization and Sprays,"19362684, 10445110",0.341,57
Automation and Remote Control,"16083032, 00051179",0.341,39
Botany,"19162790, 19162804",0.341,93
Cellular Polymers,"14782421, 02624893",0.341,29
Circulo de Linguistica Aplicada a la Comunicacion,15764737,0.341,10
Collection and Curation,25149326,0.341,21
Electronic Notes in Theoretical Computer Science,15710661,0.341,63
Herpetological Conservation and Biology,"19317603, 21510733",0.341,26
Information Geometry,"2511249X, 25112481",0.341,8
International Journal of Polymer Analysis and Characterization,"15635341, 1023666X",0.341,48
Journal of Geometry and Symmetry in Physics,"13145673, 13125192",0.341,14
Languages,2226471X,0.341,12
Management Systems in Production Engineering,"22990461, 24505781",0.341,12
Progress in Industrial Ecology,"14788764, 14768917",0.341,23
Seminars in Musculoskeletal Radiology,"1098898X, 10897860",0.341,50
String Research Journal,"21640661, 19484992",0.341,5
Sucht,09395911,0.341,28
